typo,typo_correction
arent,aren't
becuase,because
bettter,better
bfs,boyfriend
brung,brought
delt,dealt
diaregard,disregard
didnt,didn't
disipline,discipline
disrepected,disrespected
doesnt,doesn't
dont,don't
emotiional,emotional
engrained,ingrained
exteme,extreme
glasliting,gaslighting
gyt,guy
im,i'm
intentionaly,intentionally
isnt,isn't
ive,i've
judgement,judgment
naÃ¯ve,naive
reasonings,reasoning
responbilities,responsibilities
swtich,switch
thats,that's
theres,there's
theyre,they're
thye,they
trau,trauma
trie,tried
ture,TRUE
un,not
wasnt,wasn't
wouldnt,wouldn't
youll,you'll
youre,you're
v.s,vs
ti,to
tho,though
reality6rd,reality
partners,partner's
id,if
hes,he
gov,give